Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Kindergarten,Puesta del Sol Elementary School,101365,2022-23,All Students,73
1st Grade,Puesta del Sol Elementary School,101365,2022-23,All Students,83
2nd Grade,Puesta del Sol Elementary School,101365,2022-23,All Students,75
3rd Grade,Puesta del Sol Elementary School,101365,2022-23,All Students,79
4th Grade,Puesta del Sol Elementary School,101365,2022-23,All Students,62
5th Grade,Puesta del Sol Elementary School,101365,2022-23,All Students,78
