Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Jing Mei Elementary School,105623,2022-23,All Students,40
Kindergarten,Jing Mei Elementary School,105623,2022-23,All Students,73
1st Grade,Jing Mei Elementary School,105623,2022-23,All Students,72
2nd Grade,Jing Mei Elementary School,105623,2022-23,All Students,78
3rd Grade,Jing Mei Elementary School,105623,2022-23,All Students,67
4th Grade,Jing Mei Elementary School,105623,2022-23,All Students,77
5th Grade,Jing Mei Elementary School,105623,2022-23,All Students,71
