Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Cherry Crest Elementary School,101389,2022-23,All Students,1
Kindergarten,Cherry Crest Elementary School,101389,2022-23,All Students,63
1st Grade,Cherry Crest Elementary School,101389,2022-23,All Students,74
2nd Grade,Cherry Crest Elementary School,101389,2022-23,All Students,68
3rd Grade,Cherry Crest Elementary School,101389,2022-23,All Students,90
4th Grade,Cherry Crest Elementary School,101389,2022-23,All Students,102
5th Grade,Cherry Crest Elementary School,101389,2022-23,All Students,121
