Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
6th Grade,International School,103950,2022-23,All Students,94
7th Grade,International School,103950,2022-23,All Students,92
8th Grade,International School,103950,2022-23,All Students,92
9th Grade,International School,103950,2022-23,All Students,92
10th Grade,International School,103950,2022-23,All Students,76
11th Grade,International School,103950,2022-23,All Students,73
12th Grade,International School,103950,2022-23,All Students,74
