Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Enatai Elementary School,101358,2022-23,All Students,72
Kindergarten,Enatai Elementary School,101358,2022-23,All Students,51
1st Grade,Enatai Elementary School,101358,2022-23,All Students,62
2nd Grade,Enatai Elementary School,101358,2022-23,All Students,58
3rd Grade,Enatai Elementary School,101358,2022-23,All Students,65
4th Grade,Enatai Elementary School,101358,2022-23,All Students,65
5th Grade,Enatai Elementary School,101358,2022-23,All Students,60
