Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
6th Grade,Bellevue Big Picture School,105341,2022-23,All Students,77
7th Grade,Bellevue Big Picture School,105341,2022-23,All Students,76
8th Grade,Bellevue Big Picture School,105341,2022-23,All Students,76
9th Grade,Bellevue Big Picture School,105341,2022-23,All Students,52
10th Grade,Bellevue Big Picture School,105341,2022-23,All Students,47
11th Grade,Bellevue Big Picture School,105341,2022-23,All Students,51
12th Grade,Bellevue Big Picture School,105341,2022-23,All Students,15
