Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Wilburton Elementary School,106139,2022-23,All Students,56
Kindergarten,Wilburton Elementary School,106139,2022-23,All Students,44
1st Grade,Wilburton Elementary School,106139,2022-23,All Students,69
2nd Grade,Wilburton Elementary School,106139,2022-23,All Students,74
3rd Grade,Wilburton Elementary School,106139,2022-23,All Students,62
4th Grade,Wilburton Elementary School,106139,2022-23,All Students,51
5th Grade,Wilburton Elementary School,106139,2022-23,All Students,51
