Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Clyde Hill Elementary,101359,2022-23,All Students,52
Kindergarten,Clyde Hill Elementary,101359,2022-23,All Students,71
1st Grade,Clyde Hill Elementary,101359,2022-23,All Students,68
2nd Grade,Clyde Hill Elementary,101359,2022-23,All Students,69
3rd Grade,Clyde Hill Elementary,101359,2022-23,All Students,65
4th Grade,Clyde Hill Elementary,101359,2022-23,All Students,66
5th Grade,Clyde Hill Elementary,101359,2022-23,All Students,68
