Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Sherwood Forest Elementary,101372,2022-23,All Students,34
Kindergarten,Sherwood Forest Elementary,101372,2022-23,All Students,54
1st Grade,Sherwood Forest Elementary,101372,2022-23,All Students,59
2nd Grade,Sherwood Forest Elementary,101372,2022-23,All Students,55
3rd Grade,Sherwood Forest Elementary,101372,2022-23,All Students,52
4th Grade,Sherwood Forest Elementary,101372,2022-23,All Students,60
5th Grade,Sherwood Forest Elementary,101372,2022-23,All Students,61
