Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Newport Heights Elementary,101377,2022-23,All Students,28
Kindergarten,Newport Heights Elementary,101377,2022-23,All Students,56
1st Grade,Newport Heights Elementary,101377,2022-23,All Students,60
2nd Grade,Newport Heights Elementary,101377,2022-23,All Students,75
3rd Grade,Newport Heights Elementary,101377,2022-23,All Students,56
4th Grade,Newport Heights Elementary,101377,2022-23,All Students,62
5th Grade,Newport Heights Elementary,101377,2022-23,All Students,74
