Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Stevenson Elementary,101361,2022-23,All Students,70
Kindergarten,Stevenson Elementary,101361,2022-23,All Students,87
1st Grade,Stevenson Elementary,101361,2022-23,All Students,83
2nd Grade,Stevenson Elementary,101361,2022-23,All Students,80
3rd Grade,Stevenson Elementary,101361,2022-23,All Students,65
4th Grade,Stevenson Elementary,101361,2022-23,All Students,81
5th Grade,Stevenson Elementary,101361,2022-23,All Students,66
