Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Phantom Lake Elementary,101364,2022-23,All Students,118
Kindergarten,Phantom Lake Elementary,101364,2022-23,All Students,58
1st Grade,Phantom Lake Elementary,101364,2022-23,All Students,65
2nd Grade,Phantom Lake Elementary,101364,2022-23,All Students,45
3rd Grade,Phantom Lake Elementary,101364,2022-23,All Students,59
4th Grade,Phantom Lake Elementary,101364,2022-23,All Students,59
5th Grade,Phantom Lake Elementary,101364,2022-23,All Students,58
