Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Kindergarten,Spiritridge Elementary School,101387,2022-23,All Students,57
1st Grade,Spiritridge Elementary School,101387,2022-23,All Students,76
2nd Grade,Spiritridge Elementary School,101387,2022-23,All Students,107
3rd Grade,Spiritridge Elementary School,101387,2022-23,All Students,112
4th Grade,Spiritridge Elementary School,101387,2022-23,All Students,106
5th Grade,Spiritridge Elementary School,101387,2022-23,All Students,125
