Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Lake Hills Elementary,101366,2022-23,All Students,35
Kindergarten,Lake Hills Elementary,101366,2022-23,All Students,63
1st Grade,Lake Hills Elementary,101366,2022-23,All Students,61
2nd Grade,Lake Hills Elementary,101366,2022-23,All Students,63
3rd Grade,Lake Hills Elementary,101366,2022-23,All Students,69
4th Grade,Lake Hills Elementary,101366,2022-23,All Students,65
5th Grade,Lake Hills Elementary,101366,2022-23,All Students,81
