Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Woodridge Elementary,101363,2022-23,All Students,17
Kindergarten,Woodridge Elementary,101363,2022-23,All Students,53
1st Grade,Woodridge Elementary,101363,2022-23,All Students,44
2nd Grade,Woodridge Elementary,101363,2022-23,All Students,45
3rd Grade,Woodridge Elementary,101363,2022-23,All Students,41
4th Grade,Woodridge Elementary,101363,2022-23,All Students,55
5th Grade,Woodridge Elementary,101363,2022-23,All Students,61
