Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Ardmore Elementary School,101386,2022-23,All Students,64
Kindergarten,Ardmore Elementary School,101386,2022-23,All Students,55
1st Grade,Ardmore Elementary School,101386,2022-23,All Students,54
2nd Grade,Ardmore Elementary School,101386,2022-23,All Students,59
3rd Grade,Ardmore Elementary School,101386,2022-23,All Students,32
4th Grade,Ardmore Elementary School,101386,2022-23,All Students,53
5th Grade,Ardmore Elementary School,101386,2022-23,All Students,42
