Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Kindergarten,Somerset Elementary School,101392,2022-23,All Students,87
1st Grade,Somerset Elementary School,101392,2022-23,All Students,88
2nd Grade,Somerset Elementary School,101392,2022-23,All Students,114
3rd Grade,Somerset Elementary School,101392,2022-23,All Students,104
4th Grade,Somerset Elementary School,101392,2022-23,All Students,127
5th Grade,Somerset Elementary School,101392,2022-23,All Students,105
