Gradelevel,Organization Name,organizationid,School Year,Student Group,Number Of Students
Pre-Kindergarten,Eastgate Elementary School,101360,2022-23,All Students,38
Kindergarten,Eastgate Elementary School,101360,2022-23,All Students,31
1st Grade,Eastgate Elementary School,101360,2022-23,All Students,53
2nd Grade,Eastgate Elementary School,101360,2022-23,All Students,45
3rd Grade,Eastgate Elementary School,101360,2022-23,All Students,44
4th Grade,Eastgate Elementary School,101360,2022-23,All Students,48
5th Grade,Eastgate Elementary School,101360,2022-23,All Students,57
